,Date,Tweet
88,2022-05-22 21:55:04+00:00,"Georgia Gov. Brian Kemp is at the top of Donald Trump's enemies list. But he holds a cushy lead in polls ahead of Tuesday’s Republican primary. What Trump wasn’t counting on, apparently, was how many Georgia Republicans would remain loyal to both of them. https://t.co/tZfkGcngjk"
89,2022-05-22 21:40:05+00:00,"Lara Logan’s path has been one of the most puzzling in TV news history — CBS News once saw her as a next-generation star, but she now promotes far-right falsehoods and conspiracies. Former colleagues say her transformation did not come out of nowhere. https://t.co/BjP0Db7PPr"
90,2022-05-22 21:29:13+00:00,"In Opinion

In a guest essay, Patti Davis, the daughter of President Ronald Reagan, explores her father’s beliefs on abortion — “beliefs that had global policy implications and that also stemmed from some complicated emotions,” she writes. https://t.co/Q6tMrL8TYi"
91,2022-05-22 21:25:03+00:00,The economic disparity of the Philippines’ rural and urban areas is a problem of long standing. Will the lessons of the pandemic finally lead to change? https://t.co/R910byhINo
92,2022-05-22 21:17:45+00:00,"The rare monkeypox virus, usually confined mostly to Central and West Africa, has spread this year among populations that were not vulnerable in the past. On Sunday, officials in Florida said they identified one presumptive case.

Here's what to know. https://t.co/f7S3GY5GRD"
93,2022-05-22 20:55:06+00:00,"A senior member of Iran’s Revolutionary Guards Corps was assassinated in Tehran on Sunday outside his home, according to a statement by the Guards. https://t.co/oSYQCHsHzd"
94,2022-05-22 20:43:06+00:00,"The fatal shooting of a 48-year-old man on a subway train in Lower Manhattan on Sunday morning was unprovoked, with no interaction between the victim and his attacker before the shooting, police said. The assailant has not been caught. https://t.co/JfgH0L4TfI"
95,2022-05-22 20:40:09+00:00,"For Australian voters who spent years in despair about the country's deny-and-delay approach to climate change and the fossil fuel industry’s hold on conservatives, the results of Saturday's election amount to an extraordinary reversal. https://t.co/4NX1TPSqIa"
96,2022-05-22 20:25:04+00:00,"Dwayne Johnson is arguably the most successful athlete-turned-actor of all time, but his approach to acting has been risk-averse. On Still Processing, Wesley Morris and Bill Simmons break down the history of professional athletes in the movies. https://t.co/E1c5t8Xjj5 https://t.co/50suhipLof"
97,2022-05-22 19:55:06+00:00,"Before departing South Korea on Sunday, President Biden sounded the alarm about monkeypox, a viral infection that is quickly spreading around the world. https://t.co/EJ5SR7VOAh https://t.co/PXjWhvyzjN"
98,2022-05-22 19:40:09+00:00,A Russian brigade brought a new level of terror to Bucha in mid-March. A reputation for doing “unspeakable things” preceded them. https://t.co/j4HAPnpuAt
99,2022-05-22 19:25:05+00:00,"In a visit to Kyiv on Sunday, Poland's president said Ukraine alone should determine its future and that the international community must demand Russia’s complete withdrawal from its territory. https://t.co/KCH0vXl15u https://t.co/MU7lTLSqhI"
100,2022-05-22 19:20:02+00:00,"Salmon and rice belong together. The rich, fatty salmon is tempered by the comfortingly bland white rice, the latter absorbing what the former renders in excess. The twin-flame combo may be one of nature’s purest forms of culinary symbiosis. https://t.co/PHKxNV2HFj"
101,2022-05-22 19:20:01+00:00,"Since Russia invaded Ukraine in February, The New York Times has been collecting evidence of brutalities. These are some of our reports that include direct photo, video and audio evidence of these violent acts. https://t.co/VIFLjXRBmo"
102,2022-05-22 19:16:46+00:00,The J.M. Smucker Company has recalled several Jif peanut butter products sold in the U.S. and Canada because of potential salmonella contamination that federal regulators said has been tied to 14 illnesses. https://t.co/14I07XISke https://t.co/NwocF3HXJn
