,tweetcreatedts,text,language,username
24,2021-12-31 03:06:50+00:00,@nytimes I mean… boo hoo. We want them to stop bullying Ukraine. Call his bluff.,en,XChrisUnknownX
25,2021-12-31 02:50:37+00:00,@nytimes Is gonna be tough though - cold war fights vs Russia and China simultaneously....,en,SteveLeeWTH
26,2021-12-31 02:30:18+00:00,"@nytimes Oh no\n\nOur relationship\n\nIt's broken\n\n🙄\n\nDo you think that means Russia will stop their disinformation campaigns? 'Cause that would be, you know, something",en,azurenikki
27,2021-12-31 02:29:30+00:00,@nytimes A rupture should have occurred when Russia tinkered in US elections.,en,glenferrieoval
28,2021-12-31 02:21:11+00:00,"@nytimes Maybe someone needs to tell Vlad that Russia’s not a superpower, and the days of Soviet domination are long past.",en,LukewarmSC
29,2021-12-31 02:19:05+00:00,"@nytimes LOL.  I think the invasion of Ukraine would precipitate the ""rupture"".  Our sanctions would just be in response.   Dudes nervous because he got sloppy with his assets overseas under do-nothing Trump admin.  Now the Oligarchs have much more exposure and less places to hide.",en,IndoTweet1
30,2021-12-31 02:09:16+00:00,@nytimes Putin a killer afraid the massing of his military on Ukraine’s border is not a bluff.,en,jadda566
31,2021-12-31 02:06:43+00:00,@nytimes As a christian nation I thought Russia would be allowed to do whatever they please. They obviously aren’t moving fast enough at returning expropriated property to the church. That has always been bad juju &amp; led to war.,en,andrewpazniews3
32,2021-12-31 01:58:48+00:00,@nytimes Cut Putin and his friends off. Completely... Admit Ukraine into NATO. Today. Charge Putin with war crimes if he invades.,en,omnipoprecords
33,2021-12-31 01:56:34+00:00,@nytimes So basically he just called to say that he is invading Ukraine and doesn’t want economic sanctions or he will be pissed.,en,ulitorre
34,2021-12-31 01:55:17+00:00,@nytimes Russia is not a superpower. It’s economy is the size of Italy.  Tell that former cabbie to pound sand.,en,Harwich1910
35,2021-12-31 01:49:52+00:00,@nytimes Ukraine is where Biden’s son committed treason. Let Russia have it,en,linkofzelda2003
36,2021-12-31 01:48:44+00:00,"@nytimes the united states has taken similar stances before and then completely failed when ukrainian security was being jeopardized or even when land was being seized. instead, there's a bizarre american culture of a) idolizing putin; b) demonizing ""russians""; and c) ignoring ukraine",en,RavenMcGory
37,2021-12-31 01:48:41+00:00,"@nytimes If, Putin wanted to deescalate Russia would un-invade Ukraine and pull it’s troops out of Crimea.",en,NealDneal7
38,2021-12-31 01:38:15+00:00,@nytimes Google: US companies in Russia,en,selameal
39,2021-12-31 01:37:56+00:00,@nytimes Putin just proving again why Ukraine wants in to NATO. An attack against one is an attack against all.,en,whiterose_lady
40,2021-12-31 01:35:50+00:00,@nytimes Then don't invade Ukraine.,en,twitingmachine
41,2021-12-31 01:35:40+00:00,@nytimes Putin is gonna be real mad if the west retaliates for Russia INVADING ANOTHER COUNTRY. The Gaul of this man is unreal.,en,FieldMedic4077
42,2021-12-31 01:35:23+00:00,"@nytimes U.S. goods imports from Russia totaled $22.3 billion in 2019, up 6.8% ($1.4 billion) from 2018, and up 22.3% from 2009.",en,amyl12
43,2021-12-31 01:00:10+00:00,"@nytimes at first i thought this must be another article about China, Russia or Iran.. the ""threats to american democracy"" blah blah blah https://t.co/SOloiOrwUC",en,skbozphd
0,2022-01-01 02:48:56+00:00,@nytimes WHO invaded Ukraine &amp; annexed Crimea?,en,FJSEA
1,2022-01-01 00:54:42+00:00,@nytimes Every American is with Biden. Imposing the most punishing sanctions if these guys invade Ukraine.,en,ManuVedapudi
2,2022-01-01 00:45:56+00:00,@nytimes Don't forget that Russia committed genocide in the Ukraine through WWII. The Ukrainians Don't want anything to do with Russians.,en,natwwins
3,2022-01-01 00:03:42+00:00,@nytimes Neoconservative/fascists’ PNAC strategy was extremely successful in the Ukraine.,en,dog884
0,2022-01-02 23:49:41+00:00,@nytimes Tell me why Biden isn’t getting investigated with his son on Ukraine and China. His son’s Computer Hard drives.,en,RobertH94241674
1,2022-01-02 23:26:23+00:00,@nytimes 😂😂😂😂😂 radical alt left biased media outlets controlled by the democrats making communist countries like North Korea Russia and China look like bastions for freedom of speech…✊🏾,en,SlovakMad
2,2022-01-02 21:55:38+00:00,@nytimes Wow you R JUST LIKE. Russia AND. NK. PATHETIC DID HER TRUTHSHURT U????,en,TracyTracyc684
3,2022-01-02 19:14:47+00:00,"@nytimes MTG is going to use this ""OMG MY FREE SPEECH IS BEING cEnSoReD!"" racket to stay in office forever. \n\n""A private company only gave me five chances after breaking their ToS! What is this, Stalinist Russia?!""",en,RasslinWalrus
4,2022-01-02 18:50:19+00:00,@nytimes Meanwhile you pushed mah Russia for three years.,en,cat_bolo
5,2022-01-02 17:07:09+00:00,@nytimes Partisan censorship is wrong! This is not Communist China or Russia.,en,JohnRDay3
6,2022-01-02 15:52:16+00:00,"@nytimes Welp, there go my freedoms. Who wants to move to Russia with me?",en,polymath1235813
7,2022-01-02 15:42:32+00:00,@nytimes Still trying to get something from nothing. Maybe you can try Trump and Russia? Oh wait you had to retract that one....,en,SteveDu00376626
8,2022-01-02 09:44:35+00:00,@nytimes @BBC @cbcnews and many others have done excellent reporting on the Russia/Ukraine conflict IN SPITE of the crackdown in Russia on independent media voices.   This tweet has got it backward. https://t.co/MnGjydH2hV,en,CBCChrisBrown
0,2022-01-03 20:58:07+00:00,"@nytimes @RpsAgainstTrump The way the one-term, twice impeached, seditionist, Ex-President repeatedly revered dictatorships around the globe from the Chinese leader for life, to Russia's Putin, to the North Korean murderer in charge and others of this type, is beyond alarming.  Judge a man by his actions!",en,JohnPat13931894
1,2022-01-03 20:23:58+00:00,"@nytimes This is a joke. It’s all the democrats have they are going to milk till it’s dry. Another Russia hoax, Very fine people hoax.",en,AntiRicer5OH
2,2022-01-03 19:41:09+00:00,"@nytimes And so, Eddie Snowden had to scape to Russia, and Assange fears for his life for spreading the truth.",en,satchie01
3,2022-01-03 19:12:13+00:00,@nytimes The faces of Russian propaganda....being played by putin. \nHe'd love to have his ANTI-NATO puppet back in office for his Ukraine ambitions,en,Mike54204247
4,2022-01-03 17:06:53+00:00,"@nytimes Sure, the witch hunt is brutal. Just like in Putin's Russia and Maduro' Venezuela. The weaponization of the justice system is typical of the left to fulfill their characteristic totalitarian aspirations.",en,FABERGANZA
5,2022-01-03 16:39:47+00:00,@nytimes @DNC worse than Russia or China. America is no longer a democratic country and needs to be treated as such. Sanctions MUST be brought against this corrupt administration.,en,corruptedHouse
6,2022-01-03 16:02:31+00:00,"@nytimes Nearly every 🇺🇸 president has supported the far right, from Israel to Ukraine its part of their foreign policy objectives",en,Stanthemagic
7,2022-01-03 06:06:43+00:00,@nytimes Twitter doesn't have a Trump-Russia collusion misinformation policy?,en,mckenzie_rhys
8,2022-01-03 02:13:07+00:00,@nytimes Make it impossible for the billionaire oligarchs Putin supports to enjoy their booty outside of Russia. They’ll tug on his reins.,en,billliddell
9,2022-01-03 02:09:41+00:00,"@nytimes Is the US now suppressing opinions like Communist China and Russia do?   Dissenting opinions is what leads to improvements. Hard questions about the vaccines are needed. Suppressing dissent just implies that Twitter and other media are in ""bed"" with big pharma and their profits.",en,jupiter9711
0,2022-01-04 10:42:41+00:00,@nytimes Trump does what Russia tells him to do.,en,abintra
1,2022-01-04 00:09:25+00:00,@nytimes Republicans have fallen in love with another authoritarian nationalist who cozies up to Russia and China. \n\nThat just about sums it up.,en,kumsquat
