"","X","Date","text"
"102",101,"2022-04-29 06:30:06+00:00","Large fire burning near homeless encampment in Oakland: reports https://t.co/rUhq3Z9ylX"
"103",102,"2022-04-29 06:15:05+00:00","Former Marine dies fighting alongside Ukrainians; Widow calls him a 'hero' https://t.co/LF4tuPqME5"
"104",103,"2022-04-29 06:00:05+00:00",".@IngrahamAngle: DeSantis has embraced policies that once seemed unthinkable https://t.co/MDsUr4BDr2"
"105",104,"2022-04-29 05:45:06+00:00","OPINION: @greggutfeld: The White House wants to police people's opinions https://t.co/COlGagWAzE"
"106",105,"2022-04-29 05:30:06+00:00","OPINION: Parents are chanting: 'Whose kids? Our kids.' And they're winning  https://t.co/dsOJaq50CD"
"107",106,"2022-04-29 05:15:05+00:00","Elizabeth Warren calls for new 'rules' to govern 'unregulated' social media amid Musk's Twitter takeover  https://t.co/Ruh95e6RTe"
"108",107,"2022-04-29 05:00:12+00:00","'EDUCATION' NOT 'INDOCTRINATION': @GovRonDeSantis responds to critics of Florida's parental rights law, says they don't want parents involved in education because they know that they would be an 'obstacle to them indoctrinating.' https://t.co/wL0kUVuIvW"
"109",108,"2022-04-29 04:45:09+00:00","‘I’M BACK!’: Trump officially joins TRUTH social. https://t.co/K8l9ss5S8d https://t.co/GqeahOU9JD"
"110",109,"2022-04-29 04:30:05+00:00","POLICING SPEECH: @TuckerCarlson accuses Biden admin of creating 'ministry of truth' to violate First Amendment. https://t.co/Bj0Vzxhssn"
"111",110,"2022-04-29 04:15:04+00:00","Sarah Huckabee Sanders: Everything Biden and Harris touch is ruined https://t.co/Ah0kQfdQBu"
"112",111,"2022-04-29 04:05:05+00:00","California Democrat says parents at school board meetings need 'a lesson' https://t.co/VPeH6co9JW"
"113",112,"2022-04-29 04:01:03+00:00","'DISNEY WILL PAY ITS DEBTS': Florida @GovRonDeSantis fires back at Disney's response to their special exemption's removal, says 'it's wrong' for any company to 'attack parents': 'Walt Disney would not want that.' @IngrahamAngle https://t.co/H28NBJzi1X"
"114",113,"2022-04-29 03:56:04+00:00","WATCH: Why expert predicts stock market 'bottom' is getting close https://t.co/vE2JbL7Vpv https://t.co/cFSrWEOXcR"
"115",114,"2022-04-29 03:43:46+00:00","Kilmeade: George Orwell's dystopian society becoming a reality with Biden's latest action https://t.co/g5CN6gqRka"
"116",115,"2022-04-29 03:38:00+00:00","Jordan: What they are doing to our country is intentional https://t.co/mkbYEB9Qa1"
"117",116,"2022-04-29 03:22:53+00:00","OPINION: Tucker: Nina Jankowicz is the most ridiculous of all in Biden's Ministry of Truth https://t.co/UpyrTSZBwF"
"118",117,"2022-04-29 03:20:44+00:00","'FALLING APART': @SarahHuckabee blasts the Biden administration for inflation, crime and the spiraling border crisis. https://t.co/188mjxkkaz"
"119",118,"2022-04-29 03:00:40+00:00","‘NOT RELEVANT’: Senate hopeful @DrOz responds to critics who have questioned his allegiance to the U.S. because he holds dual citizenship with Turkey. https://t.co/MGhHjijBOM"
"120",119,"2022-04-29 02:56:20+00:00","Titans send AJ Brown to Eagles in blockbuster trade https://t.co/WABCLTKdzC"
"121",120,"2022-04-29 02:52:15+00:00","GROWING WINGS: Billionaire @elonmusk appears ready to fly far away from the Democratic Party as he faces barrage of criticism from the Left over Twitter acquisition. https://t.co/lXoKUpp5Me"
"122",121,"2022-04-29 02:47:26+00:00",".@cvpayne: You must always be engaged in the market https://t.co/lLauZSa1Hs https://t.co/J9NyjTUNPl"
"123",122,"2022-04-29 02:45:41+00:00","New Disinformation Governance Board better suited for dictatorships: Gabbard https://t.co/1jSEjGBBwL"
